Cereals-and-bakery-products,"Meats,-poultry,-fish,-and-eggs",Dairy-and-related-products,Fruits-and-vegetables,Other-food-at-home,Date
79.7,90.4,87.3,76.5,83.0,1980-01-01
80.6,89.7,87.8,76.0,84.3,1980-02-01
81.2,90.3,88.1,77.4,85.5,1980-03-01
82.4,89.3,88.9,80.2,86.4,1980-04-01
83.2,88.0,90.5,82.1,87.3,1980-05-01
83.7,87.8,90.9,83.3,88.4,1980-06-01
84.4,89.9,91.4,84.5,89.1,1980-07-01
84.8,93.2,91.9,86.0,90.1,1980-08-01
85.2,95.7,92.2,85.7,90.5,1980-09-01
86.4,96.0,93.1,84.6,91.2,1980-10-01
87.1,96.8,94.1,84.3,92.2,1980-11-01
88.0,97.1,95.2,85.1,92.8,1980-12-01
89.5,96.9,96.0,85.8,93.8,1981-01-01
90.3,95.9,96.8,89.0,94.6,1981-02-01
90.8,95.2,97.0,92.6,94.9,1981-03-01
91.3,94.1,97.4,93.9,95.1,1981-04-01
91.9,93.8,97.5,92.2,94.8,1981-05-01
92.4,94.5,97.5,92.6,94.7,1981-06-01
92.7,96.5,97.7,94.7,94.7,1981-07-01
92.8,97.2,97.5,95.3,95.2,1981-08-01
93.4,97.9,97.7,93.8,95.4,1981-09-01
93.6,97.4,97.8,91.6,95.6,1981-10-01
94.1,96.6,98.0,90.6,95.4,1981-11-01
94.5,96.4,98.2,92.0,95.3,1981-12-01
95.3,96.4,98.3,98.1,96.2,1982-01-01
95.6,97.6,98.6,100.4,96.8,1982-02-01
95.8,97.6,98.6,97.6,97.1,1982-03-01
95.9,98.1,99.0,97.9,97.1,1982-04-01
96.4,99.2,98.8,99.2,97.4,1982-05-01
96.6,101.1,98.5,101.8,97.4,1982-06-01
96.8,102.0,99.0,99.8,97.3,1982-07-01
97.0,100.8,99.0,97.0,97.6,1982-08-01
96.9,101.7,98.8,94.6,97.7,1982-09-01
97.0,100.7,98.8,93.5,98.0,1982-10-01
97.2,100.1,98.9,91.9,97.9,1982-11-01
97.5,99.4,99.1,92.4,97.7,1982-12-01
98.0,99.9,99.8,92.0,98.7,1983-01-01
98.3,100.3,99.9,92.6,99.0,1983-02-01
98.7,100.4,99.8,95.5,99.3,1983-03-01
99.1,100.4,100.0,98.2,99.3,1983-04-01
99.3,100.2,100.1,99.3,99.3,1983-05-01
99.5,99.4,99.9,99.3,99.2,1983-06-01
100.0,98.9,99.9,99.5,99.2,1983-07-01
100.1,98.3,100.1,99.7,99.3,1983-08-01
100.0,98.3,100.1,99.1,99.7,1983-09-01
100.1,97.7,100.0,98.8,100.3,1983-10-01
100.7,97.5,100.1,96.2,100.5,1983-11-01
101.1,98.5,99.9,97.4,100.6,1983-12-01
102.1,102.2,100.3,103.6,101.5,1984-01-01
