Chicago,Detroit,Minneapolis-St.Paul,Cleveland,St. Louis,New York,Philadelphia,Boston,Pittsburgh,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Portland,Seattle,Honolulu,Anchorage,Phoenix,Denver,Year,Tampa
815,1047,713,726,854,1109,963,998,681,766,737,750,1029,805,776,976,888,761,783,840,1090,846,859,886,2005,
365,405,458,320,395,462,408,410,331,337,275,255,470,414,338,411,445,404,432,457,335,437,415,428,2005,
609,635,600,455,536,766,611,686,460,597,448,502,736,579,556,749,772,606,650,666,831,605,632,619,2005,
1192,1333,1303,896,1173,1111,1116,1304,915,949,820,804,1052,1273,1025,1248,1285,1233,1239,1469,1419,1369,1222,1344,2005,
3002,2815,3282,1738,2814,3269,2861,3247,2420,2776,1670,2820,1729,2867,2744,3185,3672,2976,2820,2996,3858,2698,2835,2462,2005,
581,380,750,435,738,553,567,834,387,551,354,337,272,540,430,485,628,613,526,781,463,636,585,635,2005,
18962,16490,19341,13349,14409,20065,15915,17805,12031,21523,14714,14346,14807,16706,16609,19911,22885,21484,16039,17483,17400,18764,14719,15772,2005,
2318,2251,2472,1156,2015,2858,2279,1929,1747,2224,1641,1744,954,2228,2265,2386,2382,1935,1822,1833,2157,1820,1876,1755,2005,
8875,9246,8550,6095,8649,7581,8084,8586,7456,7876,5799,6044,6282,8838,10326,10972,9518,11301,8845,9491,9921,12596,10549,8646,2005,
2933,2261,3100,2600,2980,2412,2254,2624,2528,2510,2215,1837,2003,3027,2942,2275,2773,3038,2693,2910,2600,3397,2890,2724,2005,
2629,2619,3656,2213,2477,2330,1895,2347,2102,2632,1696,2079,1412,2111,2338,2719,2938,2653,3057,3002,3126,3420,2355,3227,2005,
664,568,700,439,563,687,643,591,479,637,507,397,516,767,746,798,664,805,578,625,772,615,666,636,2005,
162,149,179,147,127,144,132,195,144,166,80,65,33,118,129,158,212,192,188,214,128,218,132,144,2005,
1456,1140,1296,719,1370,1643,1235,1744,879,1610,998,773,576,921,1061,960,1107,1245,1200,1217,1320,842,739,1573,2005,
346,480,346,364,348,265,275,287,465,188,219,142,141,228,246,179,143,136,344,236,241,440,373,308,2005,
920,895,1177,926,699,1064,729,599,662,847,395,421,455,783,879,848,1014,940,1303,1004,861,1227,786,1010,2005,
2969,1528,2275,1027,2177,1168,1227,1063,1817,1667,1228,1047,852,1855,2677,1272,1607,2520,1775,2070,1112,1853,1662,1624,2005,
5665,6430,8210,4478,5546,6068,5573,5851,3989,7713,5046,5265,3846,6090,6488,5736,7538,6507,5565,6256,6746,7187,5243,5689,2005,
879,931,564,840,,989,834,866,,687,743,661,910,805,784,914,965,711,,743,,,894,,2006,
381,416,431,304,,425,382,405,,370,286,234,427,392,329,395,443,376,,417,,,433,,2006,
664,638,584,476,,759,620,634,,642,467,443,727,596,587,795,839,529,,662,,,672,,2006,
1315,1316,1248,1001,,1172,1082,1295,,1000,999,846,1066,1312,1149,1297,1399,1222,,1477,,,1342,,2006,
3171,2787,3095,2047,,3224,2659,3105,,3264,2038,2783,2044,2964,2832,3349,3769,2977,,3109,,,3365,,2006,
839,463,688,488,,488,437,573,,572,390,265,255,461,604,475,757,755,,752,,,693,,2006,
19059,16831,20380,14654,,20865,16417,18922,,24059,17063,16158,15928,17854,17198,21190,26382,23034,,19142,,,16469,,2006,
2468,2057,2346,1618,,2746,2063,1690,,2195,1805,1847,1242,2048,2608,2396,2524,2111,,1541,,,2019,,2006,
8453,8652,8915,7596,,7792,7092,9170,,7341,7554,7599,8186,9662,11636,10716,10080,11115,,10127,,,10964,,2006,
2878,2349,3322,3035,,2607,2188,2794,,2505,2551,2017,2190,3075,3259,2316,2820,3421,,2889,,,3134,,2006,
2621,2287,4070,2338,,2451,1871,2555,,2480,2186,1861,1523,2285,2528,2743,3080,2774,,3196,,,2615,,2006,
632,584,623,489,,659,575,554,,625,525,460,633,713,737,815,734,866,,626,,,657,,2006,
141,142,161,153,,133,108,189,,135,83,72,43,110,114,141,205,154,,179,,,115,,2006,
1513,1297,1269,1070,,1597,1064,1779,,1446,1840,652,724,799,998,1127,1106,986,,848,,,794,,2006,
312,517,364,380,,245,371,302,,187,242,190,168,260,274,199,151,99,,289,,,411,,2006,
817,1043,1184,1056,,1132,561,699,,1039,713,522,524,839,1025,1014,1073,1161,,924,,,919,,2006,
1986,1690,3687,1227,,1353,1301,1330,,1635,1578,1207,1328,2077,2736,1710,1741,2470,,1995,,,1910,,2006,
6135,5818,8026,4464,,5968,5842,6269,,7661,6043,5587,4000,6573,6478,6340,7748,7138,,6149,,,5683,,2006,
932,871,703,934,,955,734,887,,864,820,662,949,774,802,1026,1009,630,,761,,,873,,2007,
406,420,475,320,,396,343,423,,407,338,281,443,381,355,416,466,286,,390,,,445,,2007,
713,635,731,531,,743,559,657,,780,573,518,854,605,607,879,888,510,,619,,,676,,2007,
1457,1381,1419,1125,,1199,984,1374,,1244,1217,1042,1107,1304,1264,1442,1454,1061,,1398,,,1542,,2007,
3156,2663,3003,2183,,3202,2571,2807,,3786,2836,2775,1898,2662,3099,3528,3994,2493,,2871,,,3112,,2007,
801,495,928,401,,533,451,565,,650,479,345,276,381,603,543,888,520,,570,,,645,,2007,
20238,15995,20819,16602,,22295,18411,20174,,25525,19123,17716,18708,18169,17752,22336,27310,22670,,20671,,,18591,,2007,
3019,1848,2193,2241,,2619,2041,2093,,2440,1755,1792,1269,1907,2345,2383,2587,2292,,2080,,,2442,,2007,
8846,8743,8694,8371,,8048,7345,8707,,9531,8673,8053,7938,10764,11119,10141,10792,7258,,10047,,,12424,,2007,
3020,2307,3705,3293,,2674,2175,2809,,2641,2431,2355,2167,2967,3293,2324,3224,2613,,3127,,,3058,,2007,
2740,2441,3952,2250,,2600,2327,3352,,2995,2726,2130,1583,2515,2789,2790,3397,2938,,3542,,,3068,,2007,
662,570,647,571,,685,602,546,,682,565,513,641,747,782,776,827,691,,663,,,708,,2007,
130,113,156,154,,118,109,177,,130,84,75,42,101,89,126,201,103,,196,,,119,,2007,
1644,1325,1079,1010,,1420,1228,1381,,1664,1771,420,1054,739,918,1298,1080,677,,944,,,628,,2007,
291,445,320,398,,221,406,350,,237,229,202,197,265,299,199,148,95,,309,,,349,,2007,
837,985,1149,815,,1006,689,736,,1234,908,635,770,765,761,1141,1190,890,,1101,,,897,,2007,
1633,1500,2953,1557,,1517,1486,1235,,2168,1891,1281,1421,2223,1821,2652,1768,1941,,3147,,,1886,,2007,
6241,5031,6615,4713,,5924,5778,6365,,8463,6387,5542,4407,6632,6264,6439,7779,6648,,6501,,,5687,,2007,
919,868,856,895,,986,803,1044,,1017,828,682,925,748,836,1023,919,626,,879,,,741,,2008,
419,456,515,386,,414,398,522,,475,352,313,459,395,383,437,478,315,,498,,,406,,2008,
724,677,739,596,,755,589,802,,792,576,532,807,592,576,881,916,660,,750,,,607,,2008,
1476,1490,1498,1251,,1203,1165,1620,,1405,1069,1073,1116,1316,1304,1455,1448,1147,,1641,,,1465,,2008,
3056,2780,2977,2053,,3331,2685,2817,,3930,2723,2999,1833,2701,3323,3343,4070,2468,,2983,,,2685,,2008,
575,422,867,383,,516,465,604,,785,416,375,308,348,626,515,774,482,,600,,,472,,2008,
20830,15866,19842,16933,,23441,20870,20677,,26128,20255,17275,18459,17737,18059,22645,26111,22562,,21515,,,19492,,2008,
2757,1758,2251,2191,,2535,1940,2097,,2737,1415,1635,1238,1784,1990,2026,2456,1941,,2548,,,2046,,2008,
8947,9200,9678,8365,,8249,8658,8067,,10452,7793,7316,8506,10140,10880,9227,10591,6556,,9643,,,11630,,2008,
3324,2432,3365,3651,,2829,2682,2936,,2996,2571,2383,1933,2787,3002,2512,3321,1840,,3373,,,3195,,2008,
2885,2268,3672,2417,,2763,2874,3334,,3115,2730,2168,1630,2697,2653,2782,3409,2346,,3748,,,3560,,2008,
726,515,727,529,,699,641,594,,836,555,527,604,758,761,752,932,603,,752,,,707,,2008,
123,106,132,142,,113,151,177,,157,74,79,31,93,90,123,174,85,,245,,,115,,2008,
1595,1088,823,751,,1795,1895,1538,,1875,1294,467,968,774,1009,1117,1450,596,,1125,,,555,,2008,
323,421,290,352,,210,378,349,,263,225,197,143,225,298,178,176,108,,282,,,308,,2008,
882,983,804,647,,964,935,868,,1254,746,751,1151,690,733,1110,1101,707,,1321,,,972,,2008,
1505,1278,2172,1514,,1462,2106,1042,,2461,1742,1588,1828,2014,1886,2356,1822,1338,,3365,,,2059,,2008,
6303,4913,6503,5035,,6386,6004,6222,,9408,6746,5900,4651,6721,6879,6148,8256,6439,,7750,,,5337,,2008,
960,849,809,861,,987,889,1107,,970,853,644,867,804,921,996,891,726,,865,,,800,,2009,
434,435,489,420,,449,438,533,,476,356,279,467,384,373,438,476,397,,539,,,362,,2009,
766,670,666,596,,799,681,861,,809,597,456,780,607,598,864,920,785,,842,,,608,,2009,
1506,1450,1461,1274,,1273,1271,1704,,1342,1049,949,1106,1325,1305,1451,1427,1283,,1736,,,1363,,2009,
2787,2467,2945,2094,,3354,2655,3262,,3675,2630,2658,2062,3134,3359,3271,3672,2897,,3486,,,2806,,2009,
510,367,683,424,,498,455,641,,673,353,324,349,408,710,504,714,647,,839,,,503,,2009,
20620,16344,19164,15483,,23624,21135,20802,,25622,20795,17072,19016,18198,18866,21811,26064,22207,,22029,,,18698,,2009,
2206,1678,1864,1550,,2292,1824,1910,,2687,1511,1580,1677,2161,2256,2140,2413,2407,,2464,,,1793,,2009,
8840,9463,8833,7010,,8495,8202,8591,,9563,6621,6760,8427,8689,10843,8784,9535,7171,,9380,,,9330,,2009,
3485,2672,3314,3315,,3027,3036,3453,,3239,2973,2417,1565,3032,3267,2620,3319,2249,,3684,,,3326,,2009,
2861,2742,3217,2423,,2828,2873,3083,,3320,2591,2045,1807,2910,2972,2599,3247,2459,,4463,,,3814,,2009,
711,614,733,460,,686,655,657,,969,650,611,623,733,711,710,909,685,,833,,,868,,2009,
114,110,128,113,,110,142,203,,146,80,81,25,83,110,108,150,83,,218,,,98,,2009,
1486,1270,871,1152,,2043,2252,2184,,1853,1472,788,570,920,1041,895,1555,720,,1070,,,473,,2009,
362,504,328,397,,223,396,474,,220,242,212,124,247,329,202,188,101,,342,,,340,,2009,
863,943,832,796,,920,879,908,,969,659,814,1183,670,1220,909,958,666,,1490,,,884,,2009,
1897,1327,2518,1389,,1515,2171,1337,,2002,1461,1695,1762,1996,2233,1659,2029,1484,,2918,,,1814,,2009,
5953,4952,6969,5593,,6591,6309,6817,,10008,7112,6167,4669,7105,7566,6058,8697,6399,,8202,,,5274,,2009,
956,857,802,657,,959,847,1017,,968,932,705,826,786,817,883,843,663,,762,,,827,,2010,
433,405,517,371,,446,419,502,,453,326,283,448,358,351,388,457,347,,399,,,347,,2010,
875,709,775,560,,811,676,932,,839,641,509,801,638,638,828,920,717,,717,,,620,,2010,
1555,1429,1508,1201,,1290,1237,1708,,1370,1159,1054,993,1267,1283,1353,1418,1146,,1417,,,1424,,2010,
2767,2111,2744,2270,,3341,2515,3195,,3494,2614,2461,1790,3168,3083,3240,3706,2512,,3332,,,2893,,2010,
411,360,776,398,,555,431,644,,585,385,365,234,373,541,491,676,581,,839,,,519,,2010,
