Item,Chicago,Detroit,Minneapolis-St.Paul,Cleveland,St. Louis,New York,Philadelphia,Boston,Pittsburgh,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Portland,Seattle,Honolulu,Anchorage,Phoenix,Denver,Year
"Meats, poultry, fish, and eggs",815,1047,713,726,854,1109,963,998,681,766,737,750,1029,805,776,976,888,761,783,840,1090,846,859,886,2005
Dairy products,365,405,458,320,395,462,408,410,331,337,275,255,470,414,338,411,445,404,432,457,335,437,415,428,2005
Fruits and vegetables,609,635,600,455,536,766,611,686,460,597,448,502,736,579,556,749,772,606,650,666,831,605,632,619,2005
Other food at home,1192,1333,1303,896,1173,1111,1116,1304,915,949,820,804,1052,1273,1025,1248,1285,1233,1239,1469,1419,1369,1222,1344,2005
Food away from home,3002,2815,3282,1738,2814,3269,2861,3247,2420,2776,1670,2820,1729,2867,2744,3185,3672,2976,2820,2996,3858,2698,2835,2462,2005
Alcoholic beverages,581,380,750,435,738,553,567,834,387,551,354,337,272,540,430,485,628,613,526,781,463,636,585,635,2005
Housing,18962,16490,19341,13349,14409,20065,15915,17805,12031,21523,14714,14346,14807,16706,16609,19911,22885,21484,16039,17483,17400,18764,14719,15772,2005
Apparel and services,2318,2251,2472,1156,2015,2858,2279,1929,1747,2224,1641,1744,954,2228,2265,2386,2382,1935,1822,1833,2157,1820,1876,1755,2005
Transportation,8875,9246,8550,6095,8649,7581,8084,8586,7456,7876,5799,6044,6282,8838,10326,10972,9518,11301,8845,9491,9921,12596,10549,8646,2005
Healthcare,2933,2261,3100,2600,2980,2412,2254,2624,2528,2510,2215,1837,2003,3027,2942,2275,2773,3038,2693,2910,2600,3397,2890,2724,2005
Entertainment,2629,2619,3656,2213,2477,2330,1895,2347,2102,2632,1696,2079,1412,2111,2338,2719,2938,2653,3057,3002,3126,3420,2355,3227,2005
Personal care products and services,664,568,700,439,563,687,643,591,479,637,507,397,516,767,746,798,664,805,578,625,772,615,666,636,2005
Reading,162,149,179,147,127,144,132,195,144,166,80,65,33,118,129,158,212,192,188,214,128,218,132,144,2005
Education,1456,1140,1296,719,1370,1643,1235,1744,879,1610,998,773,576,921,1061,960,1107,1245,1200,1217,1320,842,739,1573,2005
Tobacco products and smoking supplies,346,480,346,364,348,265,275,287,465,188,219,142,141,228,246,179,143,136,344,236,241,440,373,308,2005
Miscellaneous,920,895,1177,926,699,1064,729,599,662,847,395,421,455,783,879,848,1014,940,1303,1004,861,1227,786,1010,2005
Cash contributions,2969,1528,2275,1027,2177,1168,1227,1063,1817,1667,1228,1047,852,1855,2677,1272,1607,2520,1775,2070,1112,1853,1662,1624,2005
Personal insurance and pensions,5665,6430,8210,4478,5546,6068,5573,5851,3989,7713,5046,5265,3846,6090,6488,5736,7538,6507,5565,6256,6746,7187,5243,5689,2005
