Item,Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
"Meats, poultry, fish, and eggs",879,931,564,840,989,834,866,687,743,661,910,805,784,914,965,711,743,894,2006
Cereals and bakery products,491,527,470,375,533,454,561,393,388,323,464,468,382,470,527,423,479,482,2006
Dairy products,381,416,431,304,425,382,405,370,286,234,427,392,329,395,443,376,417,433,2006
Fruits and vegetables,664,638,584,476,759,620,634,642,467,443,727,596,587,795,839,529,662,672,2006
Other food at home,1315,1316,1248,1001,1172,1082,1295,1000,999,846,1066,1312,1149,1297,1399,1222,1477,1342,2006
Food away from home,3171,2787,3095,2047,3224,2659,3105,3264,2038,2783,2044,2964,2832,3349,3769,2977,3109,3365,2006
Alcoholic beverages,839,463,688,488,488,437,573,572,390,265,255,461,604,475,757,755,752,693,2006
Housing,19059,16831,20380,14654,20865,16417,18922,24059,17063,16158,15928,17854,17198,21190,26382,23034,19142,16469,2006
Apparel and services,2468,2057,2346,1618,2746,2063,1690,2195,1805,1847,1242,2048,2608,2396,2524,2111,1541,2019,2006
Transportation,8453,8652,8915,7596,7792,7092,9170,7341,7554,7599,8186,9662,11636,10716,10080,11115,10127,10964,2006
Healthcare,2878,2349,3322,3035,2607,2188,2794,2505,2551,2017,2190,3075,3259,2316,2820,3421,2889,3134,2006
Entertainment,2621,2287,4070,2338,2451,1871,2555,2480,2186,1861,1523,2285,2528,2743,3080,2774,3196,2615,2006
Personal care products and services,632,584,623,489,659,575,554,625,525,460,633,713,737,815,734,866,626,657,2006
Reading,141,142,161,153,133,108,189,135,83,72,43,110,114,141,205,154,179,115,2006
Education,1513,1297,1269,1070,1597,1064,1779,1446,1840,652,724,799,998,1127,1106,986,848,794,2006
Tobacco products and smoking supplies,312,517,364,380,245,371,302,187,242,190,168,260,274,199,151,99,289,411,2006
Miscellaneous,817,1043,1184,1056,1132,561,699,1039,713,522,524,839,1025,1014,1073,1161,924,919,2006
Cash contributions,1986,1690,3687,1227,1353,1301,1330,1635,1578,1207,1328,2077,2736,1710,1741,2470,1995,1910,2006
Personal insurance and pensions,6135,5818,8026,4464,5968,5842,6269,7661,6043,5587,4000,6573,6478,6340,7748,7138,6149,5683,2006
