Item,Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
"Meats, poultry, fish, and eggs",960,849,809,861,987,889,1107,970,853,644,867,804,921,996,891,726,865,800,2009
Dairy products,434,435,489,420,449,438,533,476,356,279,467,384,373,438,476,397,539,362,2009
Fruits and vegetables,766,670,666,596,799,681,861,809,597,456,780,607,598,864,920,785,842,608,2009
Other food at home,1506,1450,1461,1274,1273,1271,1704,1342,1049,949,1106,1325,1305,1451,1427,1283,1736,1363,2009
Food away from home,2787,2467,2945,2094,3354,2655,3262,3675,2630,2658,2062,3134,3359,3271,3672,2897,3486,2806,2009
Alcoholic beverages,510,367,683,424,498,455,641,673,353,324,349,408,710,504,714,647,839,503,2009
Housing,20620,16344,19164,15483,23624,21135,20802,25622,20795,17072,19016,18198,18866,21811,26064,22207,22029,18698,2009
Apparel and services,2206,1678,1864,1550,2292,1824,1910,2687,1511,1580,1677,2161,2256,2140,2413,2407,2464,1793,2009
Transportation,8840,9463,8833,7010,8495,8202,8591,9563,6621,6760,8427,8689,10843,8784,9535,7171,9380,9330,2009
Healthcare,3485,2672,3314,3315,3027,3036,3453,3239,2973,2417,1565,3032,3267,2620,3319,2249,3684,3326,2009
Entertainment,2861,2742,3217,2423,2828,2873,3083,3320,2591,2045,1807,2910,2972,2599,3247,2459,4463,3814,2009
Personal care products and services,711,614,733,460,686,655,657,969,650,611,623,733,711,710,909,685,833,868,2009
Reading,114,110,128,113,110,142,203,146,80,81,25,83,110,108,150,83,218,98,2009
Education,1486,1270,871,1152,2043,2252,2184,1853,1472,788,570,920,1041,895,1555,720,1070,473,2009
Tobacco products and smoking supplies,362,504,328,397,223,396,474,220,242,212,124,247,329,202,188,101,342,340,2009
Miscellaneous,863,943,832,796,920,879,908,969,659,814,1183,670,1220,909,958,666,1490,884,2009
Cash contributions,1897,1327,2518,1389,1515,2171,1337,2002,1461,1695,1762,1996,2233,1659,2029,1484,2918,1814,2009
Personal insurance and pensions,5953,4952,6969,5593,6591,6309,6817,10008,7112,6167,4669,7105,7566,6058,8697,6399,8202,5274,2009
