Chicago,Detroit,Minneapolis-St.Paul,New York,Philadelphia,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
1043,993,772,946,959,882,1009,893,1135,927,1089,966,945,819,975,918,2015
453,431,448,439,419,426,448,320,408,407,383,390,427,449,489,444,2015
917,786,865,879,838,863,823,707,881,850,792,866,955,818,1049,799,2015
1578,1400,1792,1228,1305,1430,1594,1118,1184,1532,1625,1317,1298,1572,2179,1656,2015
3339,3225,3416,2888,2722,3726,3278,2444,2643,3999,4014,3221,4498,3362,3627,2798,2015
630,515,774,488,654,650,523,318,510,678,557,472,1005,717,759,611,2015
21964,18356,22526,24879,21195,29753,23908,17684,17750,20976,21672,21854,26483,25464,23768,18328,2015
2283,2165,1973,2089,2293,2286,1973,1741,2302,2198,2545,2686,2366,2130,2405,1848,2015
9908,11357,11652,8002,9588,12744,10783,8586,8884,11306,13462,8827,9911,11020,9767,8981,2015
4843,4334,5672,4146,4901,5556,4683,4098,2929,4935,4296,3615,4685,4732,4635,4474,2015
3138,3596,3715,2576,2814,3192,2624,2527,1755,3221,3205,2423,3318,3740,3673,2756,2015
806,788,924,766,676,816,864,530,636,790,900,729,845,966,888,712,2015
124,132,204,99,124,239,244,84,50,127,109,101,147,184,184,116,2015
1795,1412,2337,2483,2387,2243,1592,1336,504,935,1722,1586,1806,1622,1750,1546,2015
334,375,320,222,399,249,151,217,202,328,425,152,133,165,221,278,2015
957,900,759,869,712,1014,1071,399,449,926,814,986,780,1747,1957,468,2015
1632,1943,3081,1768,1575,4180,2292,2171,1101,1938,2046,1276,2262,1843,2119,1414,2015
7357,7254,8189,7543,6373,10532,9953,7613,5139,7377,7000,6445,9079,9270,7961,6418,2015
