Item,Chicago,Detroit,Minneapolis-St.Paul,St. Louis,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Honolulu,Anchorage,Year
"Meats, poultry, fish, and eggs",1070,934,990,964,1166,1055,1110,1276,1035,900,1086,917,996,1032,1030,1165,1334,1217,677,1237,1467,1202,2018
Dairy products,467,407,479,393,492,512,571,562,451,350,420,330,377,463,431,543,520,645,367,492,508,550,2018
Fruits and vegetables,983,876,921,710,1025,1070,1268,1104,975,666,912,758,836,749,955,1091,1033,1358,695,1184,1265,1011,2018
Other food at home,1666,1626,1833,1681,1500,1740,2094,1977,1503,1371,1157,1403,1491,1437,1563,1749,1993,2212,1654,1737,1968,2226,2018
Food away from home,3720,3569,3594,3268,3885,3835,3797,5629,4285,3696,2761,3469,3906,3049,4431,4954,5033,5217,3890,3850,5086,3252,2018
Alcoholic beverages,657,735,809,709,603,598,913,1111,546,512,530,766,608,555,657,800,1218,1124,527,772,517,878,2018
Housing,22501,19587,24335,21181,27626,23225,29871,30872,23957,21208,21450,24339,23550,17871,24326,31786,28591,29269,20730,25164,23045,22619,2018
Apparel and services,2017,2370,2607,1659,2574,2435,2629,2754,1870,1979,1690,2352,2698,1064,2089,2134,2582,3155,2120,2359,1634,2277,2018
Transportation,8443,12541,9318,9687,8494,11065,9571,13095,11741,10557,8820,11140,10984,7694,9273,9138,11363,11999,12720,11218,6611,11290,2018
Healthcare,5476,4930,5517,4846,4787,5669,5703,6301,5425,5189,4554,4954,4909,3810,3890,4602,5174,5355,6038,5820,4134,5233,2018
Entertainment,2863,4228,4347,3062,3154,3221,3942,4191,3695,2823,2064,3075,3620,2215,2853,3309,4576,4334,3776,4431,2665,4376,2018
Personal care products and services,1056,752,895,811,858,838,817,1271,796,763,978,857,879,523,811,950,1020,911,1004,1318,798,784,2018
Reading,156,86,239,154,110,173,189,151,156,100,65,85,82,32,94,177,124,157,78,129,53,108,2018
Education,1968,1171,1864,1130,3007,2649,4144,2566,3154,1497,909,1954,1690,1075,2334,3746,1264,2047,804,1461,1074,1116,2018
Tobacco products and smoking supplies,186,513,449,423,257,349,285,147,236,195,211,174,247,307,211,93,147,298,554,294,178,535,2018
Miscellaneous,1003,1333,980,1953,1112,1675,1228,1846,972,775,1289,859,1022,1764,1247,1664,1639,1454,930,1144,358,1069,2018
Cash contributions,1597,1565,4263,3897,1508,2013,1848,2672,1775,2185,773,1561,2906,1186,1654,2461,1793,2630,1376,1992,1456,1802,2018
Personal insurance and pensions,7322,7190,8355,7294,8079,7984,8940,12930,11039,9461,7458,6836,7777,5072,9716,9728,9567,10719,8434,8463,7202,10736,2018
