Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
1080,938,678,1003,1008,1042,1013,990,900,799,1039,915,960,957,907,760,915,928,2014
441,410,457,432,464,460,495,441,387,326,354,382,384,425,434,425,449,494,2014
951,821,787,727,895,847,956,883,791,781,701,741,796,901,962,792,1009,793,2014
1652,1691,1764,1371,1283,1365,1707,1500,1419,1257,953,1490,1711,1406,1374,1481,1553,1614,2014
2976,2712,3371,2723,3068,2936,2895,3767,3187,2624,2131,3765,3625,3083,3937,3056,3446,2786,2014
513,485,639,557,541,636,619,563,450,385,375,744,612,478,721,681,655,549,2014
21389,17379,21698,15435,25046,20475,22048,28888,21399,16316,16981,20405,22155,21501,25663,23774,22728,17543,2014
2262,1740,1856,1494,2334,2193,2014,2092,1947,1694,1350,2254,2276,1920,2227,1977,2291,1692,2014
9237,11053,11991,8943,8442,9500,9997,14559,9489,8086,7243,11290,11873,8315,9404,10319,9967,9930,2014
4511,4092,4896,3686,3937,4386,4764,4914,3877,3565,2433,4315,4009,3178,4459,4395,4042,3609,2014
2781,3130,3683,2233,2597,2730,3071,3430,2789,1980,1565,3114,3247,2427,3329,2894,3687,2804,2014
772,671,725,626,748,676,749,829,819,549,712,781,780,781,850,744,815,693,2014
106,149,181,77,100,105,138,232,129,64,54,93,99,79,161,162,179,63,2014
1831,1487,1711,1088,2575,2003,2496,1979,1803,1379,632,1010,1935,1601,1900,1068,1631,887,2014
284,358,307,291,230,343,430,241,185,172,172,289,399,163,187,232,281,215,2014
860,993,972,817,652,561,1330,959,1038,351,376,860,1035,608,813,1091,1235,395,2014
1782,2449,3229,1780,1669,1237,2221,3401,2124,2063,739,1803,2267,1291,2460,1752,1996,1171,2014
6826,6410,7464,5949,6993,5800,8550,10597,9808,6281,4823,6927,7563,5926,8438,7162,7468,4578,2014
