Chicago,Detroit,Minneapolis-St.Paul,St. Louis,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Honolulu,Anchorage,Year
947,1021,941,914,881,959,950,915,926,910,1059,827,1155,760,1022,912,1002,1118,951,824,1299,1036,2016
458,420,459,408,413,445,490,446,432,295,381,365,356,363,415,406,486,525,406,413,438,470,2016
967,790,966,800,829,950,1053,917,865,636,884,773,916,714,919,925,877,1223,764,885,1099,1121,2016
1562,1422,1682,1593,1191,1444,1527,1481,1627,1176,1238,1470,1534,1376,1353,1296,1871,2448,1620,1571,1987,1801,2016
3626,3475,3895,3367,2962,2955,2906,3829,3901,2504,2816,3450,4694,2724,3770,4630,4093,4239,2988,3618,4888,3628,2016
491,557,866,658,460,545,704,674,654,299,511,349,565,425,514,1138,851,715,618,638,521,693,2016
21644,18020,24178,18329,24795,21055,26738,26657,23743,19951,20684,21295,20559,17372,23393,30410,27153,25140,19306,22897,24436,23206,2016
2169,2163,1963,1576,2053,2342,1800,2516,1806,1909,3172,2085,2715,1571,2864,2117,2490,3185,1815,1997,1735,1515,2016
9021,9546,12109,9499,7267,9049,8575,9629,11610,10917,8093,9821,13136,9206,10119,9086,10572,10142,8861,11434,9447,13799,2016
4776,4798,6484,5013,4226,4874,4301,5435,4770,4001,3732,4826,4054,4458,3825,4899,4834,4854,4676,5616,3578,4296,2016
3484,3519,4649,3033,2468,2715,3415,3192,3017,3082,2049,3320,2942,2306,2665,3154,4506,4011,3136,3805,3024,4299,2016
756,907,1112,922,746,752,740,864,877,578,637,794,981,741,826,843,1133,873,780,970,752,786,2016
116,111,164,184,107,111,137,222,217,87,50,134,107,53,125,198,212,191,150,162,139,148,2016
1531,1643,2166,811,2252,2196,1788,1872,1304,1315,501,995,799,668,1563,1811,2811,1956,1519,1072,1985,1628,2016
310,533,408,396,224,401,292,237,231,250,176,337,278,303,154,87,162,247,265,354,143,430,2016
807,941,1085,1343,1032,994,1141,1290,894,588,489,1028,712,433,1477,682,1693,1560,650,1332,631,1429,2016
1472,1518,5140,1935,3517,1859,2540,3544,1741,1678,1213,1608,1470,832,1387,2398,2082,2808,1629,3576,3442,2049,2016
6955,7275,9178,6774,7912,8318,8279,10652,9917,7699,8455,8226,6537,6585,7776,10087,10017,8982,9399,7963,7092,10107,2016
